ts,co,no2,o3_1h,o3_8h,pm10,pm25,so2
2016-09-09 02:54:00,0.8,58.0,170.0,97.0,70.0,62.0,12.0
2016-09-09 03:54:00,0.8,55.0,185.0,108.0,72.0,58.0,13.0
2016-09-09 04:54:00,0.6,38.0,217.0,126.0,,48.0,14.0
2016-09-09 05:54:00,0.5,35.0,195.0,142.0,,42.0,13.0
2016-09-09 06:54:00,0.4,37.0,175.0,159.0,44.0,32.0,11.0
2016-09-09 07:54:00,0.4,44.0,165.0,170.0,41.0,32.0,10.0
2016-09-09 08:54:00,0.5,48.0,158.0,177.0,48.0,34.0,10.0
2016-09-09 09:54:00,0.6,50.0,148.0,177.0,53.0,32.0,9.0
2016-09-09 10:54:00,0.6,58.0,134.0,172.0,59.0,36.0,10.0
2016-09-09 11:54:00,0.7,49.0,149.0,168.0,76.0,42.0,11.0
2016-09-09 12:54:00,0.7,39.0,170.0,162.0,69.0,58.0,12.0
2016-09-09 13:54:00,0.8,38.0,172.0,159.0,,62.0,12.0
2016-09-09 14:54:00,0.7,35.0,160.0,157.0,,57.0,12.0
2016-09-09 15:54:00,0.7,31.0,154.0,156.0,63.0,54.0,12.0
2016-09-09 17:54:00,0.6,20.0,152.0,150.0,,50.0,11.0
2016-09-09 18:54:00,0.6,20.0,143.0,148.0,56.0,52.0,12.0
2016-09-09 19:54:00,0.6,21.0,139.0,146.0,59.0,57.0,12.0
2016-09-09 20:54:00,0.6,21.0,131.0,143.0,,62.0,13.0
2016-09-09 21:54:00,0.6,26.0,122.0,139.0,,66.0,13.0
2016-09-09 22:54:00,0.7,42.0,107.0,135.0,67.0,66.0,13.0
2016-09-09 23:54:00,0.7,46.0,111.0,132.0,,66.0,12.0
2016-09-10 00:54:00,0.7,47.0,100.0,126.0,67.0,62.0,13.0
2016-09-10 01:54:00,0.7,47.0,96.0,119.0,68.0,59.0,12.0
2016-09-10 02:54:00,0.7,38.0,120.0,116.0,63.0,62.0,12.0
2016-09-10 03:54:00,0.6,38.0,134.0,115.0,,57.0,12.0
2016-09-10 04:54:00,0.6,33.0,141.0,116.0,53.0,42.0,11.0
2016-09-10 05:54:00,0.6,37.0,156.0,121.0,59.0,41.0,11.0
2016-09-10 06:54:00,0.6,40.0,158.0,127.0,57.0,46.0,11.0
2016-09-10 07:54:00,0.6,41.0,139.0,130.0,65.0,46.0,11.0
2016-09-10 08:54:00,0.6,42.0,129.0,134.0,78.0,45.0,11.0
2016-09-10 09:54:00,0.6,45.0,120.0,137.0,51.0,49.0,10.0
2016-09-10 11:54:00,0.6,37.0,112.0,134.0,61.0,38.0,10.0
2016-09-10 12:54:00,0.6,34.0,111.0,130.0,58.0,40.0,10.0
2016-09-10 13:54:00,0.6,33.0,108.0,124.0,45.0,43.0,10.0
2016-09-10 14:54:00,0.6,33.0,106.0,117.0,,43.0,10.0
2016-09-10 15:54:00,0.6,29.0,108.0,113.0,46.0,43.0,11.0
2016-09-10 16:54:00,0.6,23.0,111.0,111.0,46.0,43.0,12.0
2016-09-10 17:54:00,0.6,23.0,110.0,110.0,,48.0,11.0
2016-09-10 18:54:00,0.6,21.0,114.0,112.0,,46.0,11.0
2016-09-10 19:54:00,0.6,22.0,112.0,112.0,52.0,50.0,12.0
2016-09-10 20:54:00,0.6,23.0,111.0,112.0,58.0,50.0,12.0
2016-09-10 21:54:00,0.6,25.0,110.0,111.0,60.0,56.0,12.0
2016-09-10 22:54:00,0.7,30.0,107.0,111.0,62.0,55.0,11.0
2016-09-10 23:54:00,0.7,42.0,99.0,109.0,64.0,59.0,11.0
2016-09-11 00:54:00,0.7,46.0,95.0,107.0,,58.0,11.0
2016-09-11 01:54:00,0.5,41.0,111.0,107.0,,43.0,10.0
2016-09-11 02:54:00,0.5,35.0,130.0,109.0,51.0,25.0,9.0
2016-09-11 03:54:00,0.6,46.0,119.0,110.0,35.0,34.0,9.0
2016-09-11 04:54:00,0.6,48.0,111.0,110.0,36.0,26.0,9.0
2016-09-11 05:54:00,0.6,57.0,116.0,111.0,49.0,39.0,10.0
2016-09-11 06:54:00,0.7,72.0,99.0,110.0,69.0,46.0,11.0
2016-09-11 07:54:00,0.8,95.0,67.0,106.0,71.0,53.0,10.0
